Value,Synonyms
Ridder,"ridder, ridders"
Rigotte,"rigotte, rigottes"
Rocamadour,"rocamadour, rocamadours"
Rollot,"rollot, rollots"
Romano,"romano, romanos"
RomansPartDieu,"romans part dieu, romans part dieus"
Roncal,"roncal, roncals"
Roquefort,"roquefort, roqueforts"
RouleauDeBeaulieu,"rouleau de beaulieu, rouleau de beaulieus"
RoyalpTilsit,"royalp tilsit, royalp tilsits"
RubensCheese,"rubens cheese, rubens cheeses"
Rustinu,"rustinu, rustinus"
SaalandPfarr,"saaland pfarr, saaland pfarrs"
Saanenkaese,"saanenkaese, saanenkaeses"
SagaCheese,"saga cheese, saga cheeses"
SageDerby,"sage derbies, sage derby"
SaintMarcellin,"saint-marcellin, saint-marcellins"
SaintNectaire,"saint-nectaire, saint-nectaires"
SaintPaulin,"saint-paulin, saint-paulins"
SainteMaure,"sainte maure, sainte maures"
Salers,salers
Samso,"samso, samsos"
SanSimon,"san simon, san simons"
Sancerre,"sancerre, sancerres"
SapSago,"sap sago, sap sagos"
Sardo,"sardo, sardos"
SardoEgyptian,"sardo egyptian, sardo egyptians"
Sbrinz,"sbrinz, sbrinzs"
Scamorza,"scamorza, scamorzas"
Schabzieger,"schabzieger, schabziegers"
Schloss,"schloss, schlosses"
SellesSurCher,"selles sur cher, selles sur chers"
Selva,"selva, selvas"
SemiHardCheese,"semi-hard cheese, semi-hard cheeses"
SemiSoftCheese,"semi-soft cheese, semi-soft cheeses"
SeratCheese,"serat cheese, serat cheeses"
SerraDaEstrela,"serra da estrela, serra da estrelas"
Sharpam,"sharpam, sharpams"
ShelburneCheddar,"shelburne cheddar, shelburne cheddars"
ShropshireBlue,"shropshire blue, shropshire blues"
Siraz,"siraz, sirazs"
Sirene,"sirene, sirenes"
SmokedGouda,"smoked gouda, smoked goudas"
SoftCheese,"soft cheese, soft cheeses"
SomersetBrie,"somerset brie, somerset bries"
SonomaJack,"sonoma jack, sonoma jacks"
SottocenareAlTartufo,"sottocenare al tartufo, sottocenare al tartufos"
Soumaintrain,"soumaintrain, soumaintrains"
SourireLozerien,"sourire lozerien, sourire lozeriens"
Spenwood,"spenwood, spenwoods"
SraffordshireOrganic,"sraffordshire organic, sraffordshire organics"
Stilton,"stilton, stiltons"
StinkingBishop,"stinking bishop, stinking bishops"
StringCheese,"string cheese, string cheeses"
SussexSlipcote,"sussex slipcote, sussex slipcotes"
Sveciaost,"sveciaost, sveciaosts"
Swaledale,"swaledale, swaledales"
SweetStyleSwiss,"sweet style swiss, sweet style swisses"
SwissCheese,"swiss cheese, swiss cheeses"
SyrianCheese,"syrian cheese, syrian cheeses"
Tala,"tala, talas"
Taleggio,"taleggio, taleggios"
Tamie,"tamie, tamies"
TasmaniaHighlandChevreLog,"tasmania highland chevre log, tasmania highland chevre logs"
Taupiniere,"taupiniere, taupinieres"
Teifi,"teifi, teifis"
Telemea,"telemea, telemeas"
Testouri,"testouri, testouris"
TeteDeMoine,"tete de moine, tete de moines"
Tetilla,"tetilla, tetillas"
TexasGoatCheese,"texas goat cheese, texas goat cheeses"
TibetCheese,"tibet cheese, tibet cheeses"
TillamookCheddar,"tillamook cheddar, tillamook cheddars"
Tilsit,"tilsit, tilsits"
TimboonBrie,"timboon brie, timboon bries"
