Value,Synonyms
SciotoRiver,scioto river
ScituateRes,scituate res.
ScotiaSea,scotia sea
SeaOfAzov,sea of azov
SeaOfCrete,sea of crete
SeaOfJapan,sea of japan
SeaOfMarmara,sea of marmara
SeaOfOkhotsk,sea of okhotsk
SeaOfTheHebrides,sea of the hebrides
SeineRiver,seine river
SenegalRiver,senegal river
SevanaLake,sevana lake
SevenSeas,seven seas
SevernRiver,severn river
SewaRiver,sewa river
ShabeleRiver,shabele river
ShannonRiver,shannon river
SharkBay,shark bay
ShelikhovGulf,shelikhov gulf
ShenandoahRiver,shenandoah river
SilRiver,sil river
SirbaRiver,sirba river
SmokyHillRiver,smoky hill river
SnakeRiver,snake river
SouthChinaSea,south china sea
SouthPlatteRiver,south platte river
SouthernOcean,southern ocean
SpencerGulf,spencer gulf
SpreeRiver,spree river
SronRiver,sron river
StBrideSBay,st. bride's bay
StGeorgeSChannel,st. george's channel
StJohnRiver,st. john river
StJohnSRiver,st. john's river
StPaulRiver,st. paul river
StraitOfBonifacio,strait of bonifacio
StraitOfDover,strait of dover
StraitOfGeorgia,strait of georgia
StraitOfGibraltar,strait of gibraltar
StraitOfHormuz,strait of hormuz
StraitOfKerch,strait of kerch
StraitOfMagellan,strait of magellan
StraitOfMalacca,strait of malacca
StraitOfOtranto,strait of otranto
StraitOfSicily,strait of sicily
SuezCanal,suez canal
SulaSea,sula sea
SusquehannaRiver,susquehanna river
SwanseaBay,swansea bay
TaganrogGulf,taganrog gulf
TagusRiver,tagus river
TaiaRiver,taia river
TaiwanStrait,taiwan strait
TanaRiver,tana river
TannisBay,tannis bay
TasmanSea,tasman sea
TatarStrait,tatar strait
TennesseeRiver,tennessee river
TenoRiver,teno river
TerpeniyaBay,terpeniya bay
ThamesRiver,thames river
ThermaicGulf,thermaic gulf
UbanguiRiver,ubangui river
UcayaliRiver,ucayali river
UeleRiver,uele river
UgangiRiver,ugangi river
UmeRiver,ume river
UngavaBay,ungava bay
UoloRiver,uolo river
UtahLake,utah lake
VahRiver,vah river
ValiraRiver,valira river
VardarRiver,vardar river
VentaRiver,venta river
VictoriaFalls,victoria falls
VijoseRiver,vijose river
VilkitshogoStrait,vilkitshogo strait
VistulaRiver,vistula river
VltavaRiver,vltava river
VolgaRiver,volga river
Volta,volta
VoltaBurkina,volta burkina
VoltaGhana,volta ghana
WabashRiver,wabash river
Waddenzeer,waddenzeer
WeddellSea,weddell sea
WeserRiver,weser river
WesternDvinaRiver,western dvina river
WhiteRiver,white river
WhiteSea,white sea
WhiteSeaBalticCanal,white sea-baltic canal
WyeRiver,wye river
YadkinRiver,yadkin river
YangtzeRiver,yangtze river
YanskiyBay,yanskiy bay
YazooRiver,yazoo river
YellowRiver,yellow river
YellowSea,yellow sea
YellowstoneRiver,yellowstone river
YeniseyRiver,yenisey river
YukonRiver,yukon river
ZambeziRiver,zambezi river
